Driver,Race sector,time [s],dist [mile],x[ft],y [ft]
Helio Castroneves,Sec1,0,0,2243.30459,1480.292192
Helio Castroneves,Sec2,1.622365322,0.073688515,2484.002507,1785.978547
Helio Castroneves,Sec3,1.884088218,0.085576079,2517.700216,1838.932089
Helio Castroneves,Sec4,2.209094235,0.100459988,2553.804903,1908.734485
Helio Castroneves,Sec5,3.88197741,0.179582841,2731.921362,2286.630215
Helio Castroneves,Sec6,4.222083356,0.195924268,2765.619071,2366.060528
Helio Castroneves,Sec7,4.615251884,0.214520077,2784.874904,2462.339695
Helio Castroneves,Sec8,5.88139713,0.259671653,2792.095842,2700.630633
Helio Castroneves,Sec9,8.864284731,0.323494698,2789.688862,3037.607717
Helio Castroneves,Sec10,9.854027768,0.342814007,2755.991154,3133.886884
Helio Castroneves,Sec11,10.85492287,0.360848153,2666.932925,3167.584593
Helio Castroneves,Sec12,11.89989786,0.377715242,2582.688654,3138.700843
Helio Castroneves,Sec13,12.81573042,0.3911227,2541.770008,3080.933342
Helio Castroneves,Sec14,13.61725449,0.40616632,2541.770008,3001.50303
Helio Castroneves,Sec15,14.45752975,0.423198927,2565.839799,2914.851779
Helio Castroneves,Sec16,15.5910741,0.449580214,2589.909591,2777.653967
Helio Castroneves,Sec17,16.69129793,0.484684954,2592.31657,2592.31657
Helio Castroneves,Sec18,18.52527103,0.525990654,2551.397924,2378.095424
Helio Castroneves,Sec19,19.60924402,0.548369976,2486.409487,2279.409278
Helio Castroneves,Sec20,20.43145617,0.567505544,2387.72334,2257.746465
Helio Castroneves,Sec21,21.59185289,0.596254112,2240.897611,2296.258132
Helio Castroneves,Sec22,22.76643222,0.628440407,2077.223027,2341.990736
Helio Castroneves,Sec23,23.98027586,0.669904285,1865.40886,2397.351257
Helio Castroneves,Sec24,24.70694875,0.689816868,1764.315734,2426.235007
Helio Castroneves,Sec25,25.58995319,0.713350395,1658.408651,2491.223445
Helio Castroneves,Sec26,26.49559788,0.737147365,1615.083026,2609.165424
Helio Castroneves,Sec27,27.7598057,0.773687906,1603.04813,2801.723758
Helio Castroneves,Sec28,28.69786542,0.806083362,1595.827192,2972.61928
Helio Castroneves,Sec29,29.30519289,0.829792843,1598.234171,3097.782197
Helio Castroneves,Sec30,30.3018511,0.872442631,1639.152817,3319.224281
Helio Castroneves,Sec31,31.65138202,0.926646764,1728.211047,3591.212927
